2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
TECHNOPOLIS OYJ ;TECHNOPOLIS OYJ ;TAMFELT OYJ ABP ;TECNOTREE OYJ ;TURVATIIMI CORP ;TRAINERS HOUSE ;TECNOTREE OYJ ;TIKKURILA OYJ ;TULIKIVI OYJ ;UPM KYMMENE OYJ;VALMET OYJ 
TEKLA OYJ ;TECNOTREE OYJ ;TECHNOPOLIS OYJ ;TEKLA OYJ ;UPM KYMMENE OYJ;TULIKIVI OYJ ;TELESTE OYJ ;TRAINERS HOUSE ;UPM KYMMENE OYJ;UPONOR OYJ ;VALOE OYJ 
TELESTE OYJ ;TEKLA OYJ ;TECNOTREE OYJ ;TELESTE OYJ ;UPONOR OYJ ;TURVATIIMI CORP ;TIETO OYJ ;TULIKIVI OYJ ;UPONOR OYJ ;PLC UUTECHNIC ;VIKING LINE ABP 
TIETO OYJ ;TELESTE OYJ ;TEKLA OYJ ;TIETO OYJ ;PLC UUTECHNIC ;UPM KYMMENE OYJ;TIKKURILA OYJ ;TURVATIIMI CORP ;VAISALA OYJ ;VAISALA OYJ ;WARTSILA OYJ 
TIIMARI OYJ ABP ;TIETO OYJ ;TELESTE OYJ ;TIIMARI OYJ ABP ;VACON OYJ ;UPONOR OYJ ;TRAINERS HOUSE ;UPM KYMMENE OYJ;VALMET OYJ ;VALMET OYJ ;WULFF GROUP 
TRAINERS HOUSE ;TIIMARI OYJ ABP ;TIETO OYJ ;TIKKURILA OYJ ;VAISALA OYJ ;PLC UUTECHNIC ;TULIKIVI OYJ ;UPONOR OYJ ;VALOE OYJ ;VALOE OYJ ;YIT OYJ 
TULIKIVI OYJ ;TRAINERS HOUSE ;TIIMARI OYJ ABP ;TRAINERS HOUSE ;VALOE OYJ ;VACON OYJ ;TURVATIIMI CORP ;PLC UUTECHNIC ;VIKING LINE ABP ;VIKING LINE ABP ;YLEISELEKTRONIIKKA 
TURVATIIMI CORP ;TULIKIVI OYJ ;TULIKIVI OYJ ;TULIKIVI OYJ ;VIKING LINE ABP ;VAISALA OYJ ;UPM KYMMENE OYJ;VACON OYJ ;WARTSILA OYJ ;WARTSILA OYJ ;
UPM KYMMENE OYJ;TURVATIIMI CORP ;TURVATIIMI CORP ;TURVATIIMI CORP ;WARTSILA OYJ ;VALOE OYJ ;UPONOR OYJ ;VAISALA OYJ ;WULFF GROUP ;WULFF GROUP ;
UPONOR OYJ ;UPM KYMMENE OYJ;UPM KYMMENE OYJ;UPM KYMMENE OYJ;WULFF GROUP ;VIKING LINE ABP ;PLC UUTECHNIC ;VALMET OYJ ;YIT OYJ ;YIT OYJ ;
PLC UUTECHNIC ;UPONOR OYJ ;UPONOR OYJ ;UPONOR OYJ ;YIT OYJ ;WARTSILA OYJ ;VACON OYJ ;VALOE OYJ ;YLEISELEKTRONIIKKA ;YLEISELEKTRONIIKKA ;
VACON OYJ ;PLC UUTECHNIC ;PLC UUTECHNIC ;PLC UUTECHNIC ;YLEISELEKTRONIIKKA ;WULFF GROUP ;VAISALA OYJ ;VIKING LINE ABP ;;;
VAISALA OYJ ;VACON OYJ ;VACON OYJ ;VACON OYJ ;;YIT OYJ ;VIKING LINE ABP ;WARTSILA OYJ ;;;
VALOE OYJ ;VAISALA OYJ ;VAISALA OYJ ;VAISALA OYJ ;;YLEISELEKTRONIIKKA ;WARTSILA OYJ ;WULFF GROUP ;;;
VIKING LINE ABP ;VALOE OYJ ;VALOE OYJ ;VALOE OYJ ;;;WULFF GROUP ;YIT OYJ ;;;
WARTSILA OYJ ;VIKING LINE ABP ;VIKING LINE ABP ;VIKING LINE ABP ;;;YIT OYJ ;YLEISELEKTRONIIKKA ;;;
WULFF GROUP ;WARTSILA OYJ ;WARTSILA OYJ ;WARTSILA OYJ ;;;YLEISELEKTRONIIKKA ;;;;
YIT OYJ ;WULFF GROUP ;WULFF GROUP ;WULFF GROUP ;;;;;;;
YLEISELEKTRONIIKKA ;YIT OYJ ;YIT OYJ ;YIT OYJ ;;;;;;;
;YLEISELEKTRONIIKKA ;YLEISELEKTRONIIKKA ;YLEISELEKTRONIIKKA ;;;;;;;
